BatchStart
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|
|NGC 4826|12 56.7|+21 41|  8.5  |            |                  |  9.3       |Gx         |
|IC 4039 |13 00.7|+21 41|       |            |                  |            |U          |
|NGC 2916|09 35.0|+21 42| 12.0  |            |                  |  2.6       |Gx         |
|NGC 3551|11 09.6|+21 43| 15.0  |p           |                  |            |Gx         |
|NGC 3555|11 09.7|+21 44| 15.0  |p           |                  |            |Gx         |
|NGC 3743|11 35.8|+21 44| 15.0  |p           |                  |            |Gx         |
|IC 3840 |12 51.8|+21 44|       |            |                  |            |U          |
|IC 3818 |12 49.8|+21 45|       |            |                  |            |U          |
|NGC 7784|23 55.3|+21 45| 15.0  |p           |                  |            |Gx         |
|IC 2940 |11 36.0|+21 46|       |            |                  |            |DS         |
|NGC 691 |01 50.7|+21 46| 12.0  |p           |                  |  3.5       |Gx         |
|IC 4185 |13 06.2|+21 47|       |            |                  |            |U          |
|IC 1725 |01 45.2|+21 47|       |            |                  |            |U          |
|IC 841  |12 59.8|+21 49|       |            |                  |            |U          |
|IC 5119 |21 34.0|+21 49| 15.0  |p           |                  |  1.0       |Gx         |
|NGC 109 |00 26.2|+21 49| 15.0  |p           |                  |            |Gx         |
|IC 5253 |22 45.4|+21 49| 15.0  |p           |                  |  1.0       |Gx         |
|NGC 3190|10 18.1|+21 50| 11.0  |            |                  |  4.6       |Gx         |
|NGC 3189|10 18.2|+21 50| 12.0  |p           |                  |  4.5       |Gx         |
|NGC 3187|10 17.8|+21 52| 13.1  |            |                  |  3.3       |Gx         |
|NGC 3301|10 36.9|+21 53| 11.4  |            |                  |  3.6       |Gx         |
|NGC 3760|10 36.9|+21 53|       |            |                  |            |U          |
|IC 1543 |00 20.9|+21 53| 14.0  |p           |                  |  0.8       |Gx         |
|IC 5282 |23 02.7|+21 53| 15.0  |p           |                  |  1.5       |Gx         |
|NGC 3193|10 18.4|+21 54| 10.9  |            |                  |  2.8       |Gx         |
|NGC 2737|09 03.9|+21 54| 15.0  |p           |                  |            |Gx         |
|NGC 3925|11 51.3|+21 55| 15.0  |p           |                  |            |Gx         |
|IC 3851 |12 53.1|+21 55|       |            |                  |            |U          |
|IC 4167 |13 05.5|+21 55|       |            |                  |            |U          |
|NGC 5748|14 45.0|+21 55| 15.0  |p           |                  |            |Gx         |
|IC 167  |01 51.1|+21 55|       |            |                  |  3.0       |Gx         |
|NGC 3751|11 37.9|+21 56| 15.0  |p           |                  |  0.4       |Gx         |
|IC 3901 |12 55.9|+21 56|       |            |                  |            |SS         |
|IC 341  |03 41.2|+21 57|       |            |                  |            |U          |
|NGC 30  |00 10.8|+21 57|       |            |                  |            |DS         |
|NGC 3750|11 37.9|+21 58|       |            |                  |  0.9       |Gx         |
|IC 3737 |12 45.3|+21 58|       |            |                  |            |U          |
|NGC 2738|09 03.9|+21 58| 14.0  |p           |                  |            |Gx         |
|IC 1730 |01 50.0|+21 58| 15.0  |p           |                  |  0.6       |Gx         |
|NGC 680 |01 49.8|+21 58| 13.0  |p           |                  |  2.9       |Gx         |
|NGC 3753|11 37.9|+21 59| 15.0  |p           |                  |  2.0       |Gx         |
|NGC 3754|11 37.9|+21 59|       |            |                  |  0.4       |Gx         |
|IC 3763 |12 46.8|+21 59|       |            |                  |            |U          |
|IC 4150 |13 04.2|+21 59|       |            |                  |            |U          |
|IC 1545 |00 21.3|+21 59|       |            |                  |            |U          |
|NGC 3746|11 37.7|+22 00| 15.0  |p           |                  |  1.3       |Gx         |
|IC 4107 |13 02.7|+22 00|       |            |                  |            |U          |
|NGC 694 |01 51.0|+22 00| 14.0  |p           |                  |  0.8       |Gx         |
|NGC 678 |01 49.4|+22 00| 13.0  |p           |                  |  5.0       |Gx         |
|NGC 3745|11 37.7|+22 01|       |            |                  |  0.4       |Gx         |
|NGC 2988|09 46.8|+22 01| 14.0  |p           |                  |            |Gx         |
|NGC 2991|09 46.8|+22 01| 14.0  |p           |                  |            |Gx         |
|NGC 1952|05 34.5|+22 01|  8.4  |            |                  |  6.0       |Nb         |
|IC 1548 |00 21.9|+22 01| 16.0  |p           |                  |            |Gx         |
|IC 1541 |00 20.0|+22 01| 15.0  |p           |                  |            |Gx         |
|NGC 3748|11 37.8|+22 02|       |            |                  |  0.8       |Gx         |
|IC 3875 |12 54.6|+22 02|       |            |                  |            |U          |
|NGC 2565|08 19.8|+22 02| 14.0  |p           |                  |  1.9       |Gx         |
|NGC 41  |00 12.8|+22 02| 14.0  |p           |                  |            |Gx         |
|NGC 3926|11 51.5|+22 03| 14.0  |p           |                  |            |Gx         |
|NGC 3363|10 45.3|+22 04| 14.0  |p           |                  |            |Gx         |
|IC 3636 |12 40.2|+22 04|       |            |                  |            |U          |
|IC 3847 |12 52.6|+22 04|       |            |                  |            |U          |
|IC 2382 |08 28.7|+22 04| 15.0  |p           |                  |  0.4       |Gx         |
|NGC 2365|07 22.5|+22 04| 14.0  |p           |                  |            |Gx         |
|NGC 6669|18 38.0|+22 04|       |            |                  |            |Gx         |
|NGC 2994|09 47.2|+22 06| 14.0  |p           |                  |            |Gx         |
|NGC 42  |00 12.9|+22 06| 15.0  |p           |                  |            |Gx         |
|IC 357  |04 03.8|+22 09| 14.0  |p           |                  |  1.3       |Gx         |
|NGC 7137|21 48.2|+22 10| 12.4  |            |                  |  1.5       |Gx         |
|NGC 6793|19 23.2|+22 11|       |            |                  |            |OC         |
|IC 3762 |12 46.6|+22 15|       |            |                  |            |U          |
|IC 4159 |13 04.8|+22 15|       |            |                  |            |U          |
|IC 2264 |08 17.8|+23 43|       |            |                  |            |U          |
|NGC 6616|18 17.8|+22 15| 15.0  |p           |                  |            |Gx         |
|NGC 6938|20 34.8|+22 15|       |            |                  |            |-          |
|IC 4149 |13 04.0|+22 16| 15.0  |p           |                  |  0.4       |Gx         |
|NGC 6593|18 14.2|+22 17| 15.0  |p           |                  |            |Gx         |
|NGC 6680|18 39.8|+22 18| 15.0  |p           |                  |            |Gx         |
|NGC 674 |01 49.2|+22 20|       |            |                  |            |-          |
|NGC 354 |01 03.3|+22 20| 14.0  |p           |                  |  0.9       |Gx         |
|IC 3841 |12 51.8|+22 21|       |            |                  |            |U          |
|IC 4008 |13 00.1|+22 21|       |            |                  |            |U          |
|NGC 697 |01 51.3|+22 21| 13.0  |p           |                  |  4.7       |Gx         |
|NGC 80  |00 21.2|+22 21| 12.1  |            |                  |  2.5       |Gx         |
|NGC 3352|10 44.3|+22 22| 14.0  |p           |                  |            |Gx         |
|IC 3866 |12 54.3|+22 22|       |            |                  |            |OC         |
|IC 3917 |12 56.9|+22 22|       |            |                  |            |Gx         |
|IC 3918 |12 56.9|+22 22|       |            |                  |            |U          |
|IC 1586 |00 47.9|+22 22|       |            |                  |            |Gx         |
|NGC 81  |00 21.2|+22 22|       |            |                  |            |Gx         |
|IC 3870 |12 54.4|+22 23|       |            |                  |            |U          |
|NGC 3088|10 01.1|+22 24| 15.0  |p           |                  |            |Gx         |
|NGC 2503|08 00.6|+22 24| 15.0  |p           |                  |            |Gx         |
|NGC 6020|15 57.2|+22 24| 12.6  |            |                  |  1.7       |Gx         |
|IC 1148 |15 56.9|+22 25|       |            |                  |            |U          |
|NGC 93  |00 22.0|+22 25| 14.0  |p           |                  |            |Gx         |
|NGC 91  |00 21.8|+22 25| 15.0  |p           |                  |  2.5       |Gx         |
|NGC 90  |00 21.9|+22 25|       |            |                  |            |SS         |
|NGC 7678|23 28.5|+22 25| 12.2  |            |                  |  2.3       |Gx         |
|NGC 82  |00 21.4|+22 26| 14.0  |p           |                  |  1.3       |Gx         |
|NGC 83  |00 21.4|+22 26| 12.6  |            |                  |  1.6       |Gx         |
|IC 5367 |23 58.7|+22 26|       |            |                  |            |U          |
|NGC 3808|11 40.7|+22 27| 11.9  |            |                  |  0.7       |Gx         |
|NGC 94  |00 22.2|+22 28| 15.0  |p           |                  |            |Gx         |
|IC 3776 |12 47.2|+22 29|       |            |                  |            |U          |
|IC 3661 |12 41.6|+22 30|       |            |                  |            |U          |
|IC 3880 |12 54.8|+22 30|       |            |                  |            |U          |
|IC 4014 |13 00.2|+22 30|       |            |                  |            |U          |
|IC 1546 |00 21.5|+22 30|       |            |                  |            |U          |
|NGC 85  |00 21.4|+22 30| 15.0  |p           |                  |            |Gx         |
|NGC 7238|22 15.3|+22 30|       |            |                  |            |-          |
|IC 3674 |12 42.1|+22 31|       |            |                  |            |U          |
|IC 949  |13 52.2|+22 31| 15.0  |p           |                  |  1.2       |Gx         |
|IC 4623 |16 51.2|+22 31| 15.0  |p           |                  |  0.6       |Gx         |
|IC 1547 |00 21.6|+22 31|       |            |                  |            |?          |
|IC 4017 |13 00.3|+22 33|       |            |                  |            |U          |
|NGC 2577|08 22.7|+22 33| 13.0  |p           |                  |  2.1       |Gx         |
|NGC 96  |00 22.3|+22 33| 17.0  |p           |                  |            |Gx         |
|NGC 86  |00 21.5|+22 33| 15.0  |p           |                  |            |Gx         |
|IC 3781 |12 47.4|+22 34|       |            |                  |            |U          |
|IC 3882 |12 54.9|+22 34|       |            |                  |            |U          |
|NGC 2599|08 32.2|+22 34| 13.0  |p           |                  |  2.4       |Gx         |
